Drnholec (Czech Republic);tgn,1027162;is:pleiades:128393
Guntramsdorf (Niederosterreich, Austria);tgn,1025620;is:pleiades:128406
Hernals (Wien, Austria);tgn,1004647;is:pleiades:128408
Koniggratz (Czech Republic);tgn,7012051;is:pleiades:128412
Hradek (Czech Republic);tgn,7011480;is:pleiades:128413
Kietrz (Poland);tgn,1049140;is:pleiades:128424
Klosterneuburg (Niederosterreich, Austria);tgn,7003187;is:pleiades:128425
Kojetin (Czech Republic);tgn,1027281;is:pleiades:128427,is:pleiades:128426
Malacky (Slovakia);tgn,1027366;is:pleiades:128449
Mauerbach (Niederosterreich, Austria);tgn,7003336;is:pleiades:128453
Mauerbach (Austria);tgn,1133806;is:pleiades:128453
Mikulov (Czech Republic);tgn,7011708;is:pleiades:128457
Nove Zamky (Slovakia);tgn,1027428;is:pleiades:128472
Parndorf (Burgenland, Austria);tgn,1025930;is:pleiades:128487
Presov (Slovakia);tgn,7011740;is:pleiades:128495
Puchov (Slovakia);tgn,1027445;is:pleiades:128499
Sievering (Wien, Austria);tgn,1005618;is:pleiades:128512
Starachowice (Poland);tgn,1049480;is:pleiades:128517
Stupava (Slovakia);tgn,7011759;is:pleiades:128523
Uherske Hradiste (Czech Republic);tgn,1027609;is:pleiades:128529
Uhersky Brod (Czech Republic);tgn,1027610;is:pleiades:128530
Vyskov (Czech Republic);tgn,7011819;is:pleiades:128539
Zamosc (Poland);tgn,7006364;is:pleiades:128549
Zamosc (Poland);tgn,7007840;is:pleiades:128549
Isola di Ustica (Italy);tgn,1009581;is:pleiades:1361
Ustica (Italy);tgn,1047264;is:pleiades:1361
Limoges (France);tgn,7008410;is:pleiades:138203
Blain (France);tgn,1032165;is:pleiades:138228
Bordeaux (France);tgn,7008161;is:pleiades:138248
Bordeaux (Canada);tgn,1004137;is:pleiades:138248
Burdeos (Philippines);tgn,1084074;is:pleiades:138248
Bordeaux (South Africa);tgn,1092904;is:pleiades:138248
Castelnau-montratier (France);tgn,1032441;is:pleiades:138277
La Celle (France);tgn,4005944;is:pleiades:138280
Chabris (France);tgn,1032537;is:pleiades:138284
Chanceaux (France);tgn,7023829;is:pleiades:138286
Chaudes-aigues (France);tgn,7009034;is:pleiades:138292
Dolus (France);tgn,7017026;is:pleiades:138331
Espalion (France);tgn,7008425;is:pleiades:138344
Fontenay-le-Comte (France);tgn,1033147;is:pleiades:138362
Gannat (France);tgn,7008193;is:pleiades:138368
Gergovia (France);tgn,6002232;is:pleiades:138373
Loudun (France);tgn,1034122;is:pleiades:138427
Lusignan (France);tgn,1034146;is:pleiades:138434
Mansle (France);tgn,1034228;is:pleiades:138440
Massiac (France);tgn,1034313;is:pleiades:138453
Montargis (France);tgn,7008336;is:pleiades:138467
Montreuil Bellay (France);tgn,1034526;is:pleiades:138471
Neuvy-sur-Barangeon (France);tgn,1034658;is:pleiades:138484
Nouans-les-Fontaines (France);tgn,7008322;is:pleiades:138490
Nevirnum (France);tgn,7008240;is:pleiades:138495
Pouzauges (France);tgn,1034972;is:pleiades:138522
